,region,period_begin,period_end,period_duration,median_sale_price,homes_sold
1476506,"Austin, TX",2019-06-01,2019-06-30,30,425000.0,1248.0
1489935,"Atlanta, GA",2018-05-01,2018-05-31,30,355000.0,900.0
1491788,"San Francisco, CA",2021-01-01,2021-01-31,30,1525750.0,152.0
1499565,"Seattle, WA",2020-12-01,2020-12-31,30,824714.0,586.0
1547181,"Seattle, WA",2021-05-01,2021-05-31,30,1002000.0,753.0
1548955,"Boston, MA",2021-08-01,2021-08-31,30,811500.0,118.0
1549269,"Los Angeles, CA",2018-09-01,2018-09-30,30,750000.0,1257.0
1561131,"New York, NY",2020-08-01,2020-08-31,30,599000.0,459.0
1564880,"Boston, MA",2020-08-01,2020-08-31,30,699000.0,91.0
1569109,"New York, NY",2020-04-01,2020-04-30,30,619500.0,320.0
1582578,"Raleigh, NC",2019-09-01,2019-09-30,30,320870.0,419.0
1583588,"Los Angeles, CA",2021-07-01,2021-07-31,30,1140000.0,1766.0
1595814,"Austin, TX",2019-11-01,2019-11-30,30,409900.0,841.0
1595929,"Denver, CO",2019-01-01,2019-01-31,30,410000.0,483.0
1598329,"Chicago, IL",2021-05-01,2021-05-31,30,345000.0,985.0
1602460,"Chicago, IL",2021-03-01,2021-03-31,30,315000.0,904.0
1612261,"San Francisco, CA",2020-08-01,2020-08-31,30,1656000.0,208.0
1614573,"Los Angeles, CA",2020-06-01,2020-06-30,30,835000.0,1122.0
1625558,"Chicago, IL",2019-11-01,2019-11-30,30,238250.0,718.0
1633806,"Boston, MA",2018-01-01,2018-01-31,30,574000.0,72.0
1643970,"Raleigh, NC",2021-11-01,2021-11-30,30,438500.0,465.0
1648400,"Boston, MA",2020-03-01,2020-03-31,30,655000.0,49.0
1654872,"New York, NY",2021-02-01,2021-02-28,30,639000.0,747.0
1655118,"Denver, CO",2020-02-01,2020-02-29,30,475000.0,513.0
1655860,"New York, NY",2019-01-01,2019-01-31,30,585496.5,632.0
1656810,"Los Angeles, CA",2019-12-01,2019-12-31,30,815000.0,1404.0
1671202,"Los Angeles, CA",2019-04-01,2019-04-30,30,791000.0,1533.0
1676008,"Boston, MA",2021-02-01,2021-02-28,30,612925.0,45.0
1715273,"Austin, TX",2019-01-01,2019-01-31,30,357500.0,600.0
1735056,"Seattle, WA",2019-10-01,2019-10-31,30,785000.0,559.0
1736346,"Atlanta, GA",2020-12-01,2020-12-31,30,400000.0,843.0
1739617,"Raleigh, NC",2019-02-01,2019-02-28,30,305500.0,376.0
1742933,"Chicago, IL",2019-07-01,2019-07-31,30,268000.0,1024.0
1747714,"Denver, CO",2019-05-01,2019-05-31,30,495000.0,1007.0
1758831,"Atlanta, GA",2018-12-01,2018-12-31,30,325000.0,563.0
1762179,"Boston, MA",2019-02-01,2019-02-28,30,592000.0,55.0
1772320,"Raleigh, NC",2021-09-01,2021-09-30,30,428000.0,461.0
1772904,"Atlanta, GA",2021-05-01,2021-05-31,30,525000.0,873.0
1774367,"Denver, CO",2018-01-01,2018-01-31,30,435000.0,523.0
1788835,"Denver, CO",2021-08-01,2021-08-31,30,610000.0,848.0
1789464,"New York, NY",2018-12-01,2018-12-31,30,599450.0,684.0
1799848,"Atlanta, GA",2018-01-01,2018-01-31,30,264250.0,493.0
1827009,"Los Angeles, CA",2019-02-01,2019-02-28,30,730000.0,909.0
1835561,"Seattle, WA",2019-08-01,2019-08-31,30,770000.0,619.0
1856285,"Chicago, IL",2021-06-01,2021-06-30,30,346750.0,1200.0
1868233,"Austin, TX",2021-09-01,2021-09-30,30,588000.0,1064.0
1871049,"Seattle, WA",2021-04-01,2021-04-30,30,952500.0,728.0
1898935,"Chicago, IL",2019-03-01,2019-03-31,30,233750.0,754.0
1902575,"San Francisco, CA",2021-10-01,2021-10-31,30,1800000.0,301.0
1905013,"Chicago, IL",2021-01-01,2021-01-31,30,275000.0,678.0
1918296,"Atlanta, GA",2018-06-01,2018-06-30,30,376500.0,891.0
1919910,"Denver, CO",2019-09-01,2019-09-30,30,465250.0,800.0
1935122,"Austin, TX",2021-12-01,2021-12-31,30,599000.0,945.0
1936697,"Seattle, WA",2018-08-01,2018-08-31,30,757250.0,570.0
1945804,"New York, NY",2021-01-01,2021-01-31,30,640000.0,847.0
1956218,"New York, NY",2021-05-01,2021-05-31,30,675000.0,787.0
1963359,"Denver, CO",2020-01-01,2020-01-31,30,447000.0,472.0
1965796,"Seattle, WA",2021-06-01,2021-06-30,30,978250.0,889.0
1982959,"Atlanta, GA",2019-10-01,2019-10-31,30,320750.0,726.0
1998192,"Chicago, IL",2018-01-01,2018-01-31,30,206500.0,670.0
2009267,"San Francisco, CA",2018-10-01,2018-10-31,30,1600000.0,243.0
2037323,"Raleigh, NC",2020-04-01,2020-04-30,30,360000.0,449.0
2041720,"Seattle, WA",2018-04-01,2018-04-30,30,835000.0,568.0
2043830,"Austin, TX",2018-11-01,2018-11-30,30,377000.0,793.0
2044819,"Austin, TX",2019-05-01,2019-05-31,30,427000.0,1326.0
2055535,"San Francisco, CA",2019-08-01,2019-08-31,30,1570000.0,162.0
2061092,"San Francisco, CA",2021-09-01,2021-09-30,30,1750000.0,233.0
2073498,"Austin, TX",2019-04-01,2019-04-30,30,410000.0,1106.0
2089211,"Raleigh, NC",2018-03-01,2018-03-31,30,318000.0,483.0
2095413,"New York, NY",2021-03-01,2021-03-31,30,644000.0,926.0
2103135,"Los Angeles, CA",2019-06-01,2019-06-30,30,835000.0,1511.0
2112665,"San Francisco, CA",2019-03-01,2019-03-31,30,1650000.0,170.0
2134353,"Los Angeles, CA",2020-11-01,2020-11-30,30,959000.0,1530.0
2137611,"Seattle, WA",2019-07-01,2019-07-31,30,775000.0,660.0
2140850,"Los Angeles, CA",2018-10-01,2018-10-31,30,750000.0,1477.0
2149185,"Seattle, WA",2018-09-01,2018-09-30,30,775000.0,433.0
2154146,"Chicago, IL",2018-06-01,2018-06-30,30,261000.0,1089.0
2159266,"Austin, TX",2020-02-01,2020-02-29,30,420000.0,817.0
2160457,"New York, NY",2020-02-01,2020-02-29,30,599450.0,550.0
2190261,"Atlanta, GA",2020-06-01,2020-06-30,30,398900.0,765.0
2191043,"Boston, MA",2018-03-01,2018-03-31,30,582500.0,50.0
2197757,"Raleigh, NC",2019-01-01,2019-01-31,30,310000.0,289.0
2199715,"San Francisco, CA",2021-07-01,2021-07-31,30,1850000.0,236.0
2202382,"New York, NY",2021-07-01,2021-07-31,30,680000.0,941.0
2211998,"Los Angeles, CA",2018-01-01,2018-01-31,30,689000.0,1089.0
2226899,"Los Angeles, CA",2020-04-01,2020-04-30,30,800250.0,810.0
2233459,"Raleigh, NC",2021-02-01,2021-02-28,30,370000.0,343.0
2233934,"Chicago, IL",2019-10-01,2019-10-31,30,238000.0,898.0
2246577,"Atlanta, GA",2019-07-01,2019-07-31,30,365000.0,822.0
2267520,"Raleigh, NC",2021-05-01,2021-05-31,30,430000.0,549.0
2269560,"Chicago, IL",2020-05-01,2020-05-31,30,255000.0,690.0
2279799,"Los Angeles, CA",2021-09-01,2021-09-30,30,1068000.0,1671.0
2280647,"Denver, CO",2019-12-01,2019-12-31,30,450000.0,762.0
2295091,"Boston, MA",2020-04-01,2020-04-30,30,655000.0,45.0
2304441,"Raleigh, NC",2018-05-01,2018-05-31,30,318000.0,613.0
2320263,"Boston, MA",2018-05-01,2018-05-31,30,660000.0,83.0
2325043,"Atlanta, GA",2021-01-01,2021-01-31,30,384000.0,543.0
2334799,"Seattle, WA",2020-09-01,2020-09-30,30,840000.0,767.0
2353811,"Raleigh, NC",2021-03-01,2021-03-31,30,380000.0,479.0
2355804,"New York, NY",2020-10-01,2020-10-31,30,630000.0,892.0
2367777,"Seattle, WA",2020-04-01,2020-04-30,30,870000.0,423.0
2373078,"Raleigh, NC",2018-09-01,2018-09-30,30,310000.0,409.0
2379172,"Los Angeles, CA",2018-04-01,2018-04-30,30,775000.0,1473.0
2387322,"San Francisco, CA",2019-01-01,2019-01-31,30,1325000.0,97.0
2395716,"Seattle, WA",2018-12-01,2018-12-31,30,722500.0,390.0
2411351,"San Francisco, CA",2018-05-01,2018-05-31,30,1602000.0,241.0
2430539,"Chicago, IL",2021-02-01,2021-02-28,30,275000.0,589.0
2439904,"Chicago, IL",2020-03-01,2020-03-31,30,260000.0,726.0
2441050,"Raleigh, NC",2021-10-01,2021-10-31,30,430000.0,505.0
2466172,"New York, NY",2021-12-01,2021-12-31,30,680000.0,870.0
2481154,"Austin, TX",2021-06-01,2021-06-30,30,650000.0,1230.0
2486616,"Raleigh, NC",2019-07-01,2019-07-31,30,340000.0,573.0
2488032,"Denver, CO",2020-11-01,2020-11-30,30,554500.0,797.0
2500862,"Atlanta, GA",2020-01-01,2020-01-31,30,315000.0,530.0
2503573,"Chicago, IL",2019-06-01,2019-06-30,30,280000.0,987.0
2505097,"Denver, CO",2021-11-01,2021-11-30,30,601550.0,765.0
2509394,"Chicago, IL",2021-11-01,2021-11-30,30,314000.0,942.0
2524163,"Boston, MA",2021-12-01,2021-12-31,30,730000.0,115.0
2532100,"Boston, MA",2019-11-01,2019-11-30,30,599950.0,80.0
2549517,"San Francisco, CA",2020-11-01,2020-11-30,30,1650000.0,260.0
2550474,"San Francisco, CA",2021-08-01,2021-08-31,30,1825000.0,239.0
2553216,"Atlanta, GA",2021-06-01,2021-06-30,30,560000.0,886.0
2558991,"Austin, TX",2018-08-01,2018-08-31,30,399000.0,1165.0
2567211,"Atlanta, GA",2018-02-01,2018-02-28,30,280000.0,528.0
2567603,"Los Angeles, CA",2021-06-01,2021-06-30,30,1182500.0,1922.0
2576721,"Denver, CO",2021-04-01,2021-04-30,30,625000.0,834.0
2577021,"Seattle, WA",2020-11-01,2020-11-30,30,849000.0,620.0
2578308,"New York, NY",2018-02-01,2018-02-28,30,579000.0,541.0
2585115,"Denver, CO",2018-04-01,2018-04-30,30,495500.0,834.0
2590216,"Denver, CO",2021-02-01,2021-02-28,30,568200.0,576.0
2591347,"Los Angeles, CA",2020-03-01,2020-03-31,30,871000.0,1209.0
2615725,"New York, NY",2019-04-01,2019-04-30,30,585000.0,610.0
2618618,"Denver, CO",2018-06-01,2018-06-30,30,480000.0,978.0
2630453,"Raleigh, NC",2020-12-01,2020-12-31,30,368000.0,550.0
2632367,"Austin, TX",2018-07-01,2018-07-31,30,405000.0,1259.0
2642526,"San Francisco, CA",2018-12-01,2018-12-31,30,1485000.0,155.0
2645890,"San Francisco, CA",2018-11-01,2018-11-30,30,1423000.0,220.0
2649303,"Raleigh, NC",2021-01-01,2021-01-31,30,372500.0,355.0
